Картриджи для лазерных принтеров,Cовместимый,Cовместимый 10 шт.,Ориг.,Цвет
"<div class=""title""><a href=""106r01411/""><b>Xerox 106R01411</b></a></div><div class=""clear""/><div class=""links""><div class=""c-gray"">Подходит к принтерам:</div><a href=""""><b>Xerox</b></a>:
                  <a href=""/printer/xerox/phaser-3300mfp/"">Phaser 3300MFP</a></div>",-          ,-          ,14020,"<span class=""rini_color-square-black""></span>"
"<div class=""title""><a href=""106r01412/""><b>Xerox 106R01412</b></a></div><div class=""clear""/><div class=""links""><div class=""c-gray"">Подходит к принтерам:</div><a href=""""><b>Xerox</b></a>:
                  <a href=""/printer/xerox/phaser-3300mfp/"">Phaser 3300MFP</a></div>",1620          ,1570          ,6690,"<span class=""rini_color-square-black""></span>"
"<div class=""title""><a href=""106r01413/""><b>Xerox 106R01413</b></a></div><div class=""clear""/><div class=""links""><div class=""c-gray"">Подходит к принтерам:</div><a href=""""><b>Xerox</b></a>:
                  <a href=""/printer/xerox/wc-5222/"">WorkCentre 5222</a></div>",1900          ,1850          ,8490,"<span class=""rini_color-square-black""></span>"
"<div class=""title""><a href=""106r01414/""><b>Xerox 106R01414</b></a></div><div class=""clear""/><div class=""links""><div class=""c-gray"">Подходит к принтерам:</div><a href=""""><b>Xerox</b></a>:
                  <a href=""/printer/xerox/phaser-3435/"">Phaser 3435</a></div>",-          ,-          ,12510,"<span class=""rini_color-square-black""></span>"
"<div class=""title""><a href=""106r01415/""><b>Xerox 106R01415</b></a></div><div class=""clear""/><div class=""links""><div class=""c-gray"">Подходит к принтерам:</div><a href=""""><b>Xerox</b></a>:
                  <a href=""/printer/xerox/phaser-3435/"">Phaser 3435</a></div>",2700          ,2600          ,3950,"<span class=""rini_color-square-black""></span>"
"<div class=""title""><a href=""106r01463/""><b>Xerox 106R01463</b></a></div><div class=""clear""/><div class=""links""><div class=""c-gray"">Подходит к принтерам:</div><a href=""""><b>Xerox</b></a>:
                  <a href=""/printer/xerox/phaser-6121mfp-s/"">Phaser 6121MFP/S</a></div>",-          ,-          ,9750,"<span class=""rini_color-square-cyan""></span>"
"<div class=""title""><a href=""106r01464/""><b>Xerox 106R01464</b></a></div><div class=""clear""/><div class=""links""><div class=""c-gray"">Подходит к принтерам:</div><a href=""""><b>Xerox</b></a>:
                  <a href=""/printer/xerox/phaser-6121mfp-s/"">Phaser 6121MFP/S</a></div>",-          ,-          ,9750,"<span class=""rini_color-square-magenta""></span>"
"<div class=""title""><a href=""106r01465/""><b>Xerox 106R01465</b></a></div><div class=""clear""/><div class=""links""><div class=""c-gray"">Подходит к принтерам:</div><a href=""""><b>Xerox</b></a>:
                  <a href=""/printer/xerox/phaser-6121mfp-s/"">Phaser 6121MFP/S</a></div>",-          ,-          ,9750,"<span class=""rini_color-square-yellow""></span>"
"<div class=""title""><a href=""106r01473/""><b>Xerox 106R01473</b></a></div><div class=""clear""/><div class=""links""><div class=""c-gray"">Подходит к принтерам:</div><a href=""""><b>Xerox</b></a>:
                  <a href=""/printer/xerox/phaser-6121mfp-s/"">Phaser 6121MFP/S</a></div>",-          ,-          ,8820,"<span class=""rini_color-square-cyan""></span>"
"<div class=""title""><a href=""106r01474/""><b>Xerox 106R01474</b></a></div><div class=""clear""/><div class=""links""><div class=""c-gray"">Подходит к принтерам:</div><a href=""""><b>Xerox</b></a>:
                  <a href=""/printer/xerox/phaser-6121mfp-s/"">Phaser 6121MFP/S</a></div>",-          ,-          ,8820,"<span class=""rini_color-square-magenta""></span>"
"<div class=""title""><a href=""106r01475/""><b>Xerox 106R01475</b></a></div><div class=""clear""/><div class=""links""><div class=""c-gray"">Подходит к принтерам:</div><a href=""""><b>Xerox</b></a>:
                  <a href=""/printer/xerox/phaser-6121mfp-s/"">Phaser 6121MFP/S</a></div>",-          ,-          ,8820,"<span class=""rini_color-square-yellow""></span>"
"<div class=""title""><a href=""106r01476/""><b>Xerox 106R01476</b></a></div><div class=""clear""/><div class=""links""><div class=""c-gray"">Подходит к принтерам:</div><a href=""""><b>Xerox</b></a>:
                  <a href=""/printer/xerox/phaser-6121mfp-s/"">Phaser 6121MFP/S</a></div>",-          ,-          ,9460,"<span class=""rini_color-square-black""></span>"
"<div class=""title""><a href=""106r01485/""><b>Xerox 106R01485</b></a></div><div class=""clear""/><div class=""links""><div class=""c-gray"">Подходит к принтерам:</div><a href=""""><b>Xerox</b></a>:
                  <a href=""/printer/xerox/wc-3210/"">WorkCentre 3210</a>, <a href=""/printer/xerox/wc-3220/"">WorkCentre 3220</a>, <a href=""/printer/xerox/wc-3210n/"">WorkCentre 3210n</a>, <a href=""/printer/xerox/wc-3220dn/"">WorkCentre 3220dn</a></div>",-          ,-          ,6390,"<span class=""rini_color-square-black""></span>"
"<div class=""title""><a href=""106r01487/""><b>Xerox 106R01487</b></a></div><div class=""clear""/><div class=""links""><div class=""c-gray"">Подходит к принтерам:</div><a href=""""><b>Xerox</b></a>:
                  <a href=""/printer/xerox/wc-3220dn/"">WorkCentre 3220dn</a></div>",1900          ,1850          ,10790,"<span class=""rini_color-square-black""></span>"
"<div class=""title""><a href=""106r01487-og/""><b>Xerox 106R01487 (ОГ)</b></a></div><div class=""clear""/><div class=""links""><div class=""c-gray"">Подходит к принтерам:</div><a href=""/cartridge/canon/""><b>Canon</b></a>:
                  <a href=""/printer/canon/i-sensys-lbp312x/"">i-SENSYS LBP312x</a></div>",1300          ,-          ,,"<span class=""rini_color-square-black""></span>"
"<div class=""title""><a href=""106r01529/""><b>Xerox 106R01529</b></a></div><div class=""clear""/><div class=""links""><div class=""c-gray"">Подходит к принтерам:</div><a href=""""><b>Xerox</b></a>:
                  <a href=""/printer/xerox/wc-3550/"">WorkCentre 3550</a></div>",-          ,-          ,12990,"<span class=""rini_color-square-black""></span>"
"<div class=""title""><a href=""106r01530/""><b>Xerox 106R01531/106R01530</b></a></div><div class=""clear""/><div class=""links""><div class=""c-gray"">Подходит к принтерам:</div><a href=""""><b>Xerox</b></a>:
                  <a href=""/printer/xerox/wc-3550/"">WorkCentre 3550</a></div>",1620          ,1570          ,11520,"<span class=""rini_color-square-black""></span>"
"<div class=""title""><a href=""106r01601/""><b>Xerox 106R01601</b></a></div><div class=""clear""/><div class=""links""><div class=""c-gray"">Подходит к принтерам:</div><a href=""""><b>Xerox</b></a>:
                  <a href=""/printer/xerox/phaser-6500/"">Phaser 6500</a></div>",1350          ,1290          ,,"<span class=""rini_color-square-cyan""></span>"
"<div class=""title""><a href=""106r01602/""><b>Xerox 106R01602</b></a></div><div class=""clear""/><div class=""links""><div class=""c-gray"">Подходит к принтерам:</div><a href=""""><b>Xerox</b></a>:
                  <a href=""/printer/xerox/phaser-6500/"">Phaser 6500</a></div>",1350          ,1290          ,,"<span class=""rini_color-square-magenta""></span>"
"<div class=""title""><a href=""106r01603/""><b>Xerox 106R01603</b></a></div><div class=""clear""/><div class=""links""><div class=""c-gray"">Подходит к принтерам:</div><a href=""""><b>Xerox</b></a>:
                  <a href=""/printer/xerox/phaser-6500/"">Phaser 6500</a></div>",1350          ,1290          ,,"<span class=""rini_color-square-yellow""></span>"
"<div class=""title""><a href=""106r01604/""><b>Xerox 106R01604</b></a></div><div class=""clear""/><div class=""links""><div class=""c-gray"">Подходит к принтерам:</div><a href=""""><b>Xerox</b></a>:
                  <a href=""/printer/xerox/phaser-6500/"">Phaser 6500</a></div>",1350          ,1290          ,,"<span class=""rini_color-square-black""></span>"
"<div class=""title""><a href=""106r01631/""><b>Xerox 106R01631</b></a></div><div class=""clear""/><div class=""links""><div class=""c-gray"">Подходит к принтерам:</div><a href=""""><b>Xerox</b></a>:
                  <a href=""/printer/xerox/phaser-6000/"">Phaser 6000</a>, <a href=""/printer/xerox/phaser-6010/"">Phaser 6010</a></div>",1900          ,1850          ,5740,"<span class=""rini_color-square-cyan""></span>"
"<div class=""title""><a href=""106r01632/""><b>Xerox 106R01632</b></a></div><div class=""clear""/><div class=""links""><div class=""c-gray"">Подходит к принтерам:</div><a href=""""><b>Xerox</b></a>:
                  <a href=""/printer/xerox/phaser-6010/"">Phaser 6010</a></div>",1900          ,1850          ,5740,"<span class=""rini_color-square-magenta""></span>"
"<div class=""title""><a href=""106r01633/""><b>Xerox 106R01633</b></a></div><div class=""clear""/><div class=""links""><div class=""c-gray"">Подходит к принтерам:</div><a href=""""><b>Xerox</b></a>:
                  <a href=""/printer/xerox/phaser-6010/"">Phaser 6010</a></div>",1900          ,1850          ,5740,"<span class=""rini_color-square-yellow""></span>"
"<div class=""title""><a href=""106r01634/""><b>Xerox 106R01634</b></a></div><div class=""clear""/><div class=""links""><div class=""c-gray"">Подходит к принтерам:</div><a href=""""><b>Xerox</b></a>:
                  <a href=""/printer/xerox/phaser-6010/"">Phaser 6010</a>, <a href=""/printer/xerox/wc-6015/"">WC 6015</a></div>",1900          ,1850          ,7750,"<span class=""rini_color-square-black""></span>"
"<div class=""title""><a href=""106r02181/""><b>Xerox 106R02181</b></a></div><div class=""clear""/><div class=""links""><div class=""c-gray"">Подходит к принтерам:</div><a href=""""><b>Xerox</b></a>:
                  <a href=""/printer/xerox/wc-3045/"">WorkCentre 3045</a></div>",-          ,-          ,,"<span class=""rini_color-square-black""></span>"
"<div class=""title""><a href=""106r02183/""><b>Xerox 106R02183</b></a></div><div class=""clear""/><div class=""links""><div class=""c-gray"">Подходит к принтерам:</div><a href=""""><b>Xerox</b></a>:
                  <a href=""/printer/xerox/phaser-3010/"">Phaser 3010</a>, <a href=""/printer/xerox/wc-3045/"">WorkCentre 3045</a></div>",1290          ,1190          ,4850,"<span class=""rini_color-square-black""></span>"
"<div class=""title""><a href=""106r02306/""><b>Xerox 106R02306</b></a></div><div class=""clear""/><div class=""links""><div class=""c-gray"">Подходит к принтерам:</div><a href=""""><b>Xerox</b></a>:
                  <a href=""/printer/xerox/phaser-3320/"">Phaser 3320DNI</a></div>",1950          ,1900          ,,"<span class=""rini_color-square-black""></span>"
"<div class=""title""><a href=""106r02310/""><b>Xerox 106R02310</b></a></div><div class=""clear""/><div class=""links""><div class=""c-gray"">Подходит к принтерам:</div><a href=""""><b>Xerox</b></a>:
                  <a href=""/printer/xerox/wc-3315/"">WC 3315</a>, <a href=""/printer/xerox/wc-3325/"">WC 3325</a>, <a href=""/printer/xerox/wc-3325dni/"">WorkCentre 3325DNI</a></div>",2400          ,2300          ,9580,"<span class=""rini_color-square-black""></span>"
"<div class=""title""><a href=""106r02312/""><b>Xerox 106R02312</b></a></div><div class=""clear""/><div class=""links""><div class=""c-gray"">Подходит к принтерам:</div><a href=""/cartridge/kyocera/""><b>Kyocera</b></a>:
                  <a href=""/printer/kyocera/fs-1100/"">FS-1100</a></div>",2700          ,2500          ,12190,"<span class=""rini_color-square-black""></span>"
"<div class=""title""><a href=""106r02773/""><b>Xerox 106R02773</b></a></div><div class=""clear""/><div class=""links""><div class=""c-gray"">Подходит к принтерам:</div><a href=""""><b>Xerox</b></a>:
                  <a href=""/printer/xerox/phaser-3020/"">Phaser 3020</a>, <a href=""/printer/xerox/wc-3025/"">WC 3025</a></div>",1900          ,1800          ,,"<span class=""rini_color-square-black""></span>"
"<div class=""title""><a href=""106r02778/""><b>Xerox 106R02778</b></a></div><div class=""clear""/><div class=""links""><div class=""c-gray"">Подходит к принтерам:</div><a href=""""><b>Xerox</b></a>:
                  <a href=""/printer/xerox/phaser-3052/"">Phaser 3052</a>, <a href=""/printer/xerox/phaser-3260/"">Phaser 3260</a>, <a href=""/printer/xerox/wc-3215/"">WorkCentre 3215</a>, <a href=""/printer/xerox/wc-3225dn/"">WorkCentre 3225DN</a></div>",1900          ,1800          ,,"<span class=""rini_color-square-black""></span>"
"<div class=""title""><a href=""106r02782/""><b>Xerox 106R02782</b></a></div><div class=""clear""/><div class=""links""><div class=""c-gray"">Подходит к принтерам:</div><a href=""""><b>Xerox</b></a>:
                  <a href=""/printer/xerox/wc-3225dn/"">WorkCentre 3225DN</a></div>",-          ,-          ,7400,"<span class=""rini_color-square-black""></span>"
"<div class=""title""><a href=""106r03623/""><b>Xerox 106R03623</b></a></div><div class=""clear""/><div class=""links""><div class=""c-gray"">Подходит к принтерам:</div><a href=""""><b>Xerox</b></a>:
                  <a href=""/printer/xerox/phaser-3330/"">MFP Phaser 3330</a>, <a href=""/printer/xerox/wc-3335/"">WC 3335</a>, <a href=""/printer/xerox/wc-3345/"">WC 3345</a></div>",3100          ,2950          ,14770,"<span class=""rini_color-square-black""></span>"
"<div class=""title""><a href=""106r04348/""><b>Xerox 106R04348 БЕЗ ЧИПА</b></a></div><div class=""clear""/><div class=""links""><div class=""c-gray"">Подходит к принтерам:</div><a href=""""><b>Xerox</b></a>:
                  <a href=""/printer/xerox/b205/"">B205</a>, <a href=""/printer/xerox/b210/"">B210</a>, <a href=""/printer/xerox/b215/"">B215</a></div>",1400          ,1300          ,,"<span class=""rini_color-square-black""></span>"
"<div class=""title""><a href=""106r04348-chip/""><b>Xerox 106R04348 С ЧИПОМ</b></a></div><div class=""clear""/><div class=""links""><div class=""c-gray"">Подходит к принтерам:</div><a href=""/cartridge/kyocera/""><b>Kyocera</b></a>:
                  <a href=""/printer/kyocera/ecosys-p3155dn/"">Ecosys P3155DN</a></div>",2650          ,2600          ,,"<span class=""rini_color-square-black""></span>"
"<div class=""title""><a href=""108r00794/""><b>Xerox 108R00794</b></a></div><div class=""clear""/><div class=""links""><div class=""c-gray"">Подходит к принтерам:</div><a href=""""><b>Xerox</b></a>:
                  <a href=""/printer/xerox/phaser-3635mfp/"">Phaser 3635MFP</a></div>",-          ,-          ,11880,"<span class=""rini_color-square-black""></span>"
"<div class=""title""><a href=""108r00796/""><b>Xerox 108R00796</b></a></div><div class=""clear""/><div class=""links""><div class=""c-gray"">Подходит к принтерам:</div><a href=""""><b>Xerox</b></a>:
                  <a href=""/printer/xerox/phaser-3635mfp/"">Phaser 3635MFP</a></div>",3500          ,3300          ,8000,"<span class=""rini_color-square-black""></span>"
"<div class=""title""><a href=""108r00908/""><b>Xerox 108R00908</b></a></div><div class=""clear""/><div class=""links""><div class=""c-gray"">Подходит к принтерам:</div><a href=""""><b>Xerox</b></a>:
                  <a href=""/printer/xerox/phaser-3140/"">Phaser 3140</a>, <a href=""/printer/xerox/phaser-3155/"">Phaser 3155</a>, <a href=""/printer/xerox/phaser-3160/"">Phaser 3160</a></div>",-          ,-          ,,"<span class=""rini_color-square-black""></span>"
"<div class=""title""><a href=""108r00909/""><b>Xerox 108R00909</b></a></div><div class=""clear""/><div class=""links""><div class=""c-gray"">Подходит к принтерам:</div><a href=""""><b>Xerox</b></a>:
                  <a href=""/printer/xerox/phaser-3160/"">Phaser 3160</a></div>",1650          ,1550          ,4000,"<span class=""rini_color-square-black""></span>"
"<div class=""title""><a href=""108r00982/""><b>Xerox 108R00982</b></a></div><div class=""clear""/><div class=""links""><div class=""c-gray"">Подходит к принтерам:</div><a href=""""><b>Xerox</b></a>:
                  <a href=""/printer/xerox/phaser-7800/"">Phaser 7800</a></div>",2500          ,2300          ,,"<span class=""rini_color-square-black""></span>"
"<div class=""title""><a href=""109r00639/""><b>Xerox 109R00639</b></a></div><div class=""clear""/><div class=""links""><div class=""c-gray"">Подходит к принтерам:</div><a href=""""><b>Xerox</b></a>:
                  <a href=""/printer/xerox/phaser-3110/"">Phaser 3110</a>, <a href=""/printer/xerox/phaser-3210/"">Phaser 3210</a></div>",1550          ,1450          ,3500,"<span class=""rini_color-square-black""></span>"
"<div class=""title""><a href=""109r00725-og/""><b>Xerox 109R00725 ОГ</b></a></div><div class=""clear""/><div class=""links""><div class=""c-gray"">Подходит к принтерам:</div><a href=""""><b>Xerox</b></a>:
                  <a href=""/printer/xerox/wc-5335/"">WorkCentre 5335 MFU</a></div>",1150          ,1050          ,,"<span class=""rini_color-square-black""></span>"
"<div class=""title""><a href=""109r00746/""><b>Xerox 109R00746</b></a></div><div class=""clear""/><div class=""links""><div class=""c-gray"">Подходит к принтерам:</div><a href=""/cartridge/brother/""><b>Brother</b></a>:
                  <a href=""/printer/brother/mfc-7860/"">MFC-7860</a></div>",-          ,-          ,12200,"<span class=""rini_color-square-black""></span>"
"<div class=""title""><a href=""109r00747/""><b>Xerox 109R00747</b></a></div><div class=""clear""/><div class=""links""><div class=""c-gray"">Подходит к принтерам:</div><a href=""""><b>Xerox</b></a>:
                  <a href=""/printer/xerox/phaser-3150/"">Phaser 3150</a></div>",1450          ,1250          ,3500,"<span class=""rini_color-square-black""></span>"
"<div class=""title""><a href=""109r00747-og/""><b>Xerox 109R00747  ОГ</b></a></div><div class=""clear""/><div class=""links""><div class=""c-gray"">Подходит к принтерам:</div><a href=""/cartridge/epson/""><b>Epson</b></a>:
                  <a href=""/printer/epson/al-alm2300/"">AcuLaser ALM2300</a></div>",-          ,-          ,,"<span class=""rini_color-square-black""></span>"
"<div class=""title""><a href=""109r00748/""><b>Xerox 109R00748</b></a></div><div class=""clear""/><div class=""links""><div class=""c-gray"">Подходит к принтерам:</div><a href=""""><b>Xerox</b></a>:
                  <a href=""/printer/xerox/phaser-3116/"">Phaser 3116</a></div>",1800          ,1700          ,9890,"<span class=""rini_color-square-black""></span>"
"<div class=""title""><a href=""113r00195/""><b>Xerox 113R00195</b></a></div><div class=""clear""/><div class=""links""><div class=""c-gray"">Подходит к принтерам:</div><a href=""""><b>Xerox</b></a>:
                  <a href=""/printer/xerox/dp-n4525/"">DocuPrint N4525</a></div>",-          ,-          ,,"<span class=""rini_color-square-black""></span>"
"<div class=""title""><a href=""113r00296/""><b>Xerox 113R00296 (603P06174)</b></a></div><div class=""clear""/><div class=""links""><div class=""c-gray"">Подходит к принтерам:</div><a href=""""><b>Xerox</b></a>:
                  <a href=""/printer/xerox/dp-p8e/"">DocuPrint P8e</a>, <a href=""/printer/xerox/dp-p8ex/"">DocuPrint P8ex</a>, <a href=""/printer/xerox/wc-385/"">WorkCentre 385</a></div>",-          ,-          ,9500,"<span class=""rini_color-square-black""></span>"
"<div class=""title""><a href=""113r00443/""><b>Xerox 113R00443</b></a></div><div class=""clear""/><div class=""links""><div class=""c-gray"">Подходит к принтерам:</div><a href=""""><b>Xerox</b></a>:
                  <a href=""/printer/xerox/dp-n2025/"">DocuPrint N2025</a>, <a href=""/printer/xerox/dp-n2825/"">DocuPrint N2825</a></div>",-          ,-          ,,"<span class=""rini_color-square-black""></span>"
"<div class=""title""><a href=""113r00495/""><b>Xerox 113R00495</b></a></div><div class=""clear""/><div class=""links""><div class=""c-gray"">Подходит к принтерам:</div><a href=""""><b>Xerox</b></a>:
                  <a href=""/printer/xerox/phaser-5400/"">Phaser 5400</a></div>",-          ,-          ,12500,"<span class=""rini_color-square-black""></span>"
"<div class=""title""><a href=""113r00663/""><b>Xerox 113R00663 DRUM</b></a></div><div class=""clear""/><div class=""links""><div class=""c-gray"">Подходит к принтерам:</div><a href=""/cartridge/brother/""><b>Brother</b></a>:
                  <a href=""/printer/brother/mfc-7860/"">MFC-7860</a></div>",-          ,-          ,15370,"<span class=""rini_color-square-black""></span>"
"<div class=""title""><a href=""113r00667/""><b>Xerox 113R00667</b></a></div><div class=""clear""/><div class=""links""><div class=""c-gray"">Подходит к принтерам:</div><a href=""""><b>Xerox</b></a>:
                  <a href=""/printer/xerox/wc-pe16/"">WorkCentre PE16</a>, <a href=""/printer/xerox/wc-pe16e/"">WorkCentre PE16e</a></div>",1800          ,1700          ,3500,"<span class=""rini_color-square-black""></span>"
"<div class=""title""><a href=""113r00671/""><b>Xerox 113R00671</b></a></div><div class=""clear""/><div class=""links""><div class=""c-gray"">Подходит к принтерам:</div><a href=""/cartridge/samsung/""><b>Samsung</b></a>:
                  <a href=""/printer/samsung/scx-4623fn/"">SCX-4623FN</a></div>",-          ,-          ,5500,"<span class=""rini_color-square-black""></span>"
"<div class=""title""><a href=""113R00722/""><b>Xerox 113R00722</b></a></div><div class=""clear""/><div class=""links""><div class=""c-gray"">Подходит к принтерам:</div><a href=""/cartridge/canon/""><b>Canon</b></a>:
                  <a href=""/printer/canon/c2380i/"">C2380I</a></div>",-          ,-          ,13440,"<span class=""rini_color-square-black""></span>"
"<div class=""title""><a href=""113r00723/""><b>Xerox 113R00723</b></a></div><div class=""clear""/><div class=""links""><div class=""c-gray"">Подходит к принтерам:</div><a href=""""><b>Xerox</b></a>:
                  <a href=""/printer/xerox/phaser-6180/"">Phaser 6180</a></div>",-          ,-          ,15710,"<span class=""rini_color-square-cyan""></span>"
"<div class=""title""><a href=""113r00724/""><b>Xerox 113R00724</b></a></div><div class=""clear""/><div class=""links""><div class=""c-gray"">Подходит к принтерам:</div><a href=""""><b>Xerox</b></a>:
                  <a href=""/printer/xerox/phaser-6180/"">Phaser 6180</a></div>",-          ,-          ,15710,"<span class=""rini_color-square-magenta""></span>"
"<div class=""title""><a href=""113r00725/""><b>Xerox 113R00725</b></a></div><div class=""clear""/><div class=""links""><div class=""c-gray"">Подходит к принтерам:</div><a href=""""><b>Xerox</b></a>:
                  <a href=""/printer/xerox/phaser-6180/"">Phaser 6180</a></div>",-          ,-          ,15710,"<span class=""rini_color-square-yellow""></span>"
"<div class=""title""><a href=""113r00726/""><b>Xerox 113R00726</b></a></div><div class=""clear""/><div class=""links""><div class=""c-gray"">Подходит к принтерам:</div><a href=""""><b>Xerox</b></a>:
                  <a href=""/printer/xerox/phaser-6180/"">Phaser 6180</a></div>",-          ,-          ,21430,"<span class=""rini_color-square-black""></span>"
"<div class=""title""><a href=""113r00730/""><b>Xerox 113R00730</b></a></div><div class=""clear""/><div class=""links""><div class=""c-gray"">Подходит к принтерам:</div><a href=""/cartridge/hp/""><b>HP</b></a>:
                  <a href=""/printer/hp/lj-4550/"">LaserJet 4550</a></div>",2050          ,1900          ,3100,"<span class=""rini_color-square-black""></span>"
"<div class=""title""><a href=""113r00735/""><b>Xerox 113R00735</b></a></div><div class=""clear""/><div class=""links""><div class=""c-gray"">Подходит к принтерам:</div><a href=""""><b>Xerox</b></a>:
                  <a href=""/printer/xerox/phaser-3200mfp/"">Phaser 3200MFP</a></div>",2050          ,1900          ,11080,"<span class=""rini_color-square-black""></span>"
"<div class=""title""><a href=""673s50212/""><b>Xerox 673S50212 DRUM</b></a></div><div class=""clear""/><div class=""links""><div class=""c-gray"">Подходит к принтерам:</div><a href=""""><b>Xerox</b></a>:
                  <a href=""/printer/xerox/5921/"">5921</a></div>",-          ,-          ,13500,"<span class=""rini_color-square-black""></span>"
"<div class=""title""><a href=""6r916-6r917/""><b>Xerox 6R916/6R917</b></a></div>",-          ,-          ,,"<span class=""rini_color-square-black""></span>"
