Картриджи для лазерных принтеров,Cовместимый,Cовместимый 10 шт.,Ориг.,Цвет
"<div class=""title""><a href=""006R01731/""><b>Xerox 006R01731</b></a></div><div class=""clear""/><div class=""links""><div class=""c-gray"">Подходит к принтерам:</div><a href=""""><b>Xerox</b></a>:
                  <a href=""/printer/xerox/b1022/"">B1022</a>, <a href=""/printer/xerox/b1025/"">B1025</a></div>",3950          ,3900          ,,"<span class=""rini_color-square-black""></span>"
"<div class=""title""><a href=""013r00559/""><b>Xerox 013R00559 /013R90144</b></a></div>",-          ,-          ,,"<span class=""rini_color-square-black""></span>"
"<div class=""title""><a href=""013r00589/""><b>Xerox 013R00589 DRUM</b></a></div><div class=""clear""/><div class=""links""><div class=""c-gray"">Подходит к принтерам:</div><a href=""""><b>Xerox</b></a>:
                  <a href=""/printer/xerox/wc-m118i/"">WorkCentre M118i</a>, <a href=""/printer/xerox/wc-pro-128/"">WorkCentre Pro 128</a>, <a href=""/printer/xerox/wc-m118/"">WorkCentre M118</a>, <a href=""/printer/xerox/wc-pro-123/"">WorkCentre Pro 123</a></div>",8100          ,7800          ,23040,"<span class=""rini_color-square-black""></span>"
"<div class=""title""><a href=""013r00591/""><b>Xerox 013R00591</b></a></div><div class=""clear""/><div class=""links""><div class=""c-gray"">Подходит к принтерам:</div><a href=""""><b>Xerox</b></a>:
                  <a href=""/printer/xerox/wc-5335/"">WorkCentre 5335 MFU</a></div>",-          ,-          ,19760,"<span class=""rini_color-square-black""></span>"
"<div class=""title""><a href=""013r00606/""><b>Xerox 013R00606</b></a></div><div class=""clear""/><div class=""links""><div class=""c-gray"">Подходит к принтерам:</div><a href=""""><b>Xerox</b></a>:
                  <a href=""/printer/xerox/wc-pe120/"">WorkCentre PE120</a>, <a href=""/printer/xerox/wc-pe120i/"">WorkCentre PE120i</a>, <a href=""/cartridge/samsung/""><b>Samsung</b></a>:
                  <a href=""/printer/samsung/scx-4520/"">SCX-4520</a>, <a href=""/printer/samsung/scx-4720f/"">SCX-4720F</a>, <a href=""/cartridge/canon/""><b>Canon</b></a>:
                  <a href=""/printer/canon/mp-l60/"">MultiPass L60</a></div>",1650          ,1550          ,2920,"<span class=""rini_color-square-black""></span>"
"<div class=""title""><a href=""013r00607/""><b>Xerox 013R00607</b></a></div><div class=""clear""/><div class=""links""><div class=""c-gray"">Подходит к принтерам:</div><a href=""""><b>Xerox</b></a>:
                  <a href=""/printer/xerox/wc-pe114e/"">WorkCentre PE114e</a></div>",1900          ,1700          ,,"<span class=""rini_color-square-black""></span>"
"<div class=""title""><a href=""013r00621/""><b>Xerox 013R00621</b></a></div><div class=""clear""/><div class=""links""><div class=""c-gray"">Подходит к принтерам:</div><a href=""""><b>Xerox</b></a>:
                  <a href=""/printer/xerox/wc-pe220/"">WorkCentre PE220</a></div>",1600          ,1500          ,11250,"<span class=""rini_color-square-black""></span>"
"<div class=""title""><a href=""013r00623/""><b>Xerox 013R00623 DRUM</b></a></div><div class=""clear""/><div class=""links""><div class=""c-gray"">Подходит к принтерам:</div><a href=""""><b>Xerox</b></a>:
                  <a href=""/printer/xerox/wc-4150/"">WorkCentre 4150</a></div>",-          ,-          ,26450,"<span class=""rini_color-square-black""></span>"
"<div class=""title""><a href=""013r00625/""><b>Xerox 013R00625</b></a></div><div class=""clear""/><div class=""links""><div class=""c-gray"">Подходит к принтерам:</div><a href=""""><b>Xerox</b></a>:
                  <a href=""/printer/xerox/wc-3119/"">WorkCentre 3119</a></div>",1900          ,1700          ,7260,"<span class=""rini_color-square-black""></span>"
"<div class=""title""><a href=""013r00647/""><b>Xerox 013R00647</b></a></div><div class=""clear""/><div class=""links""><div class=""c-gray"">Подходит к принтерам:</div><a href=""""><b>Xerox</b></a>:
                  <a href=""/printer/xerox/workcentre_7425/"">WorkCentre 7425</a></div>",7900          ,7600          ,,"<span class=""rini_color-square-black""></span>"
