Картриджи для принтеров,Cовместимый,Cовместимый 10 шт.,Ориг.,Цвет
"<div class=""title""><a href=""tn-1095/""><b>Brother TN-1095</b></a></div><div class=""clear""/><div class=""links""><div class=""c-gray"">Подходит к принтерам:</div><a href=""""><b>Brother</b></a>:
                  <a href=""/printer/brother/hl-1202r/"">HL-1202R</a></div>",1290          ,1190          ,,"<span class=""rini_color-square-black""></span>"
"<div class=""title""><a href=""tn-2075/""><b>Brother TN-2075</b></a></div><div class=""clear""/><div class=""links""><div class=""c-gray"">Подходит к принтерам:</div><a href=""""><b>Brother</b></a>:
                  <a href=""/printer/brother/hl-2030r/"">HL-2030R</a>, <a href=""/printer/brother/hl-2040r/"">HL-2040R</a>, <a href=""/printer/brother/hl-2070nr/"">HL-2070NR</a>, <a href=""/printer/brother/mfc-7420r/"">MFC-7420R</a>, <a href=""/printer/brother/mfc-7820nr/"">MFC-7820NR</a>, <a href=""/printer/brother/dcp-7010r/"">DCP-7010R</a>, <a href=""/printer/brother/dcp-7025r/"">DCP-7025R</a>, <a href=""/printer/brother/fax-2825r/"">Fax-2825R</a>, <a href=""/printer/brother/fax-2920r/"">Fax-2920R</a></div>",1090          ,950          ,,"<span class=""rini_color-square-black""></span>"
"<div class=""title""><a href=""tn-2075-t/""><b>Brother TN-2075 тех/упаковка</b></a></div><div class=""clear""/><div class=""links""><div class=""c-gray"">Подходит к принтерам:</div><a href=""/cartridge/xerox/""><b>Xerox</b></a>:
                  <a href=""/printer/xerox/phaser-6180/"">Phaser 6180</a></div>",-          ,-          ,,"<span class=""rini_color-square-black""></span>"
"<div class=""title""><a href=""tn-2080/""><b>Brother TN-2080</b></a></div><div class=""clear""/><div class=""links""><div class=""c-gray"">Подходит к принтерам:</div><a href=""""><b>Brother</b></a>:
                  <a href=""/printer/brother/hl-2130/"">HL-2130</a>, <a href=""/printer/brother/dcp-7055/"">DCP-7055</a></div>",1290          ,1190          ,,"<span class=""rini_color-square-black""></span>"
"<div class=""title""><a href=""tn-2085/""><b>Brother TN-2085</b></a></div><div class=""clear""/><div class=""links""><div class=""c-gray"">Подходит к принтерам:</div><a href=""""><b>Brother</b></a>:
                  <a href=""/printer/brother/hl-2035r/"">HL-2035R</a>, <a href=""/printer/brother/hl-2035r/"">HL-2035R</a></div>",1290          ,1190          ,,"<span class=""rini_color-square-black""></span>"
"<div class=""title""><a href=""tn-2090/""><b>Brother TN-2090</b></a></div><div class=""clear""/><div class=""links""><div class=""c-gray"">Подходит к принтерам:</div><a href=""""><b>Brother</b></a>:
                  <a href=""/printer/brother/hl-2132/"">HL-2132</a>, <a href=""/printer/brother/dcp-7057/"">DCP-7057</a></div>",1290          ,1190          ,,"<span class=""rini_color-square-black""></span>"
"<div class=""title""><a href=""tn-2175/""><b>Brother TN-2175</b></a></div><div class=""clear""/><div class=""links""><div class=""c-gray"">Подходит к принтерам:</div><a href=""""><b>Brother</b></a>:
                  <a href=""/printer/brother/hl-2140/"">HL-2140</a>, <a href=""/printer/brother/hl-2150/"">HL-2150</a>, <a href=""/printer/brother/hl-2170/"">HL-2170</a>, <a href=""/printer/brother/hl-2142r/"">HL-2142R</a>, <a href=""/printer/brother/dcp-7030r/"">DCP-7030R</a>, <a href=""/printer/brother/dcp-7032r/"">DCP-7032R</a>, <a href=""/printer/brother/dcp-7045nr/"">DCP-7045NR</a>, <a href=""/printer/brother/mfc-7320r/"">MFC-7320R</a>, <a href=""/printer/brother/mfc-7440nr/"">MFC-7440NR</a>, <a href=""/printer/brother/mfc-7840wr/"">MFC-7840WR</a>, <a href=""/printer/brother/hl-l2340dwr/"">HL-L2340DWR</a></div>",1290          ,1190          ,,"<span class=""rini_color-square-black""></span>"
"<div class=""title""><a href=""tn-2235/""><b>Brother TN-2235</b></a></div><div class=""clear""/><div class=""links""><div class=""c-gray"">Подходит к принтерам:</div><a href=""""><b>Brother</b></a>:
                  <a href=""/printer/brother/hl-2240/"">HL-2240</a>, <a href=""/printer/brother/hl-2250dn/"">HL-2250DN</a>, <a href=""/printer/brother/dcp-7060/"">DCP-7060</a>, <a href=""/printer/brother/dcp-7065/"">DCP-7065</a>, <a href=""/printer/brother/dcp-7070/"">DCP-7070</a>, <a href=""/printer/brother/mfc-7360/"">MFC-7360</a>, <a href=""/printer/brother/mfc-7860/"">MFC-7860</a></div>",-          ,-          ,,"<span class=""rini_color-square-black""></span>"
"<div class=""title""><a href=""tn-2275/""><b>Brother TN-2275</b></a></div><div class=""clear""/><div class=""links""><div class=""c-gray"">Подходит к принтерам:</div><a href=""""><b>Brother</b></a>:
                  <a href=""/printer/brother/mfc-7860/"">MFC-7860</a></div>",1290          ,1190          ,,"<span class=""rini_color-square-black""></span>"
"<div class=""title""><a href=""tn-2335/""><b>Brother TN-2335</b></a></div><div class=""clear""/><div class=""links""><div class=""c-gray"">Подходит к принтерам:</div><a href=""""><b>Brother</b></a>:
                  <a href=""/printer/brother/mfc-l2720dw/"">MFC-L2720dw</a></div>",-          ,-          ,,"<span class=""rini_color-square-black""></span>"
"<div class=""title""><a href=""tn-2375/""><b>Brother TN-2375</b></a></div><div class=""clear""/><div class=""links""><div class=""c-gray"">Подходит к принтерам:</div><a href=""""><b>Brother</b></a>:
                  <a href=""/printer/brother/hl-l2300dr/"">HL-L2300DR</a>, <a href=""/printer/brother/dcp-l2520dwr/"">DCP-L2520DWR</a>, <a href=""/printer/brother/mfc-l2700dwr/"">MFC-L2700DWR</a>, <a href=""/printer/brother/mfc-l2720dw/"">MFC-L2720dw</a></div>",1290          ,1190          ,,"<span class=""rini_color-square-black""></span>"
"<div class=""title""><a href=""tn-241bk/""><b>Brother TN-241BK</b></a></div><div class=""clear""/><div class=""links""><div class=""c-gray"">Подходит к принтерам:</div><a href=""""><b>Brother</b></a>:
                  <a href=""/printer/brother/hl3140/"">HL3140</a>, <a href=""/printer/brother/hl3170/"">HL3170</a>, <a href=""/printer/brother/mfc-9130/"">MFC-9130</a>, <a href=""/printer/brother/dcp-9020/"">DCP-9020</a></div>",1700          ,1600          ,,"<span class=""rini_color-square-black""></span>"
