Картриджи для принтеров,Cовместимый,Cовместимый 10 шт.,Ориг.,Цвет
"<div class=""title""><a href=""t007/""><b>Epson T007 Twin pack</b></a></div><div class=""clear""/><div class=""links""><div class=""c-gray"">Подходит к принтерам:</div><a href=""/cartridge/hp/""><b>HP</b></a>:
                  <a href=""/printer/hp/dj-5743/"">Deskjet 5743</a>, <a href=""""><b>Epson</b></a>:
                  <a href=""/printer/epson/sp-1290/"">Stylus Photo 1290</a></div>",-          ,-          ,,"<span class=""rini_color-square-black""></span>"
"<div class=""title""><a href=""t008401/""><b>Epson T008401</b></a></div><div class=""clear""/><div class=""links""><div class=""c-gray"">Подходит к принтерам:</div><a href=""""><b>Epson</b></a>:
                  <a href=""/printer/epson/sp-790/"">Stylus Photo 790</a>, <a href=""/printer/epson/sp-870/"">Stylus Photo 870</a>, <a href=""/printer/epson/sp-875dc/"">Stylus Photo 875DC</a>, <a href=""/printer/epson/sp-890/"">Stylus Photo 890</a>, <a href=""/printer/epson/sp-895/"">Stylus Photo 895</a>, <a href=""/printer/epson/sp-895ex/"">Stylus Photo 895EX</a>, <a href=""/printer/epson/sp-915/"">Stylus Photo 915</a></div>",-          ,-          ,,"<span class=""rini_color-square""></span>"
"<div class=""title""><a href=""t009/""><b>Epson T009</b></a></div><div class=""clear""/><div class=""links""><div class=""c-gray"">Подходит к принтерам:</div><a href=""""><b>Epson</b></a>:
                  <a href=""/printer/epson/sp-px660/"">Stylus Photo PX660</a></div>",-          ,-          ,,"<span class=""rini_color-square""></span>"
"<div class=""title""><a href=""t009-twin/""><b>Epson T009 Twin Pack</b></a></div><div class=""clear""/><div class=""links""><div class=""c-gray"">Подходит к принтерам:</div><a href=""""><b>Epson</b></a>:
                  <a href=""/printer/epson/sf-r300/"">Stylus Photo R300</a>, <a href=""/printer/epson/sp-1270/"">Stylus Photo 1270</a>, <a href=""/printer/epson/sp-900/"">Stylus Photo 900</a>, <a href=""/printer/epson/sp-1290/"">Stylus Photo 1290</a></div>",-          ,-          ,,"<span class=""rini_color-square""></span>"
"<div class=""title""><a href=""t038/""><b>Epson T038</b></a></div><div class=""clear""/><div class=""links""><div class=""c-gray"">Подходит к принтерам:</div><a href=""""><b>Epson</b></a>:
                  <a href=""/printer/epson/st-c43/"">Stylus C43</a>, <a href=""/printer/epson/st-c45/"">Stylus 45</a></div>",-          ,-          ,,"<span class=""rini_color-square-black""></span>"
"<div class=""title""><a href=""t039/""><b>Epson T039</b></a></div><div class=""clear""/><div class=""links""><div class=""c-gray"">Подходит к принтерам:</div><a href=""""><b>Epson</b></a>:
                  <a href=""/printer/epson/st-c45/"">Stylus 45</a></div>",-          ,-          ,,"<span class=""rini_color-square""></span>"
"<div class=""title""><a href=""t04414010/""><b>Epson T04414010 (комплект)</b></a></div>",460          ,-          ,,"<span class=""rini_color-square""></span>"
"<div class=""title""><a href=""t0461/""><b>Epson T0461</b></a></div><div class=""clear""/><div class=""links""><div class=""c-gray"">Подходит к принтерам:</div><a href=""""><b>Epson</b></a>:
                  <a href=""/printer/epson/stylus-c65/"">Stylus C65 Photo Edition</a>, <a href=""/printer/epson/stylus-c63/"">Stylus C63 Photo Edition</a>, <a href=""/printer/epson/cx-3500/"">Stylus CX3500</a></div>",-          ,-          ,,"<span class=""rini_color-square-black""></span>"
"<div class=""title""><a href=""t04624/""><b>Epson T04624 Multi Pack</b></a></div><div class=""clear""/><div class=""links""><div class=""c-gray"">Подходит к принтерам:</div><a href=""""><b>Epson</b></a>:
                  <a href=""/printer/epson/so-600fw/"">Stylus Office 600FW</a></div>",-          ,-          ,,"<span class=""rini_color-square""></span>"
"<div class=""title""><a href=""t0481/""><b>Epson T0481</b></a></div><div class=""clear""/><div class=""links""><div class=""c-gray"">Подходит к принтерам:</div><a href=""""><b>Epson</b></a>:
                  <a href=""/printer/epson/sf-r300/"">Stylus Photo R300</a></div>",460          ,440          ,,"<span class=""rini_color-square-black""></span>"
