Картриджи для принтеров,Cовместимый,Unnamed: 2,Ориг.,Цвет
"<div class=""title""><a href=""cb436a/""><b>HP CB436A</b></a><div class=""icons""><span class=""ico-logistic-small left"" title=""круглосуточная доставка""> </span></div></div><div class=""clear""/><div class=""links""><div class=""c-gray"">Подходит к принтерам:</div><a href=""""><b>HP</b></a>:
                  <a href=""/printer/hp/lj-p1505/"">LaserJet P1505</a>, <a href=""/printer/hp/lj-p1505n/"">LaserJet P1505n</a>, <a href=""/printer/hp/lj-m1120/"">LaserJet M1120</a>, <a href=""/printer/hp/lj-m1120n/"">LaserJet M1120n</a>, <a href=""/printer/hp/lj-m1522n/"">LaserJet M1522n</a>, <a href=""/printer/hp/lj-m1522nf/"">LaserJet M1522nf</a>, <a href=""/cartridge/canon/""><b>Canon</b></a>:
                  <a href=""/printer/canon/i-sensys-lbp3250/"">i-SENSYS LBP3250</a></div>",1290,1190,,"<span class=""rini_color-square-black""></span>"
"<div class=""title""><a href=""cc530a/""><b>HP CC530A</b></a></div><div class=""clear""/><div class=""links""><div class=""c-gray"">Подходит к принтерам:</div><a href=""""><b>HP</b></a>:
                  <a href=""/printer/hp/clj-cp2025/"">Color LaserJet CP2025</a>, <a href=""/printer/hp/clj-cm2320-mfp/"">Color LaserJet CM2320 mfp</a></div>",1850,1750,11360,"<span class=""rini_color-square-black""></span>"
"<div class=""title""><a href=""c4092a/""><b>HP C4092A</b></a></div><div class=""clear""/><div class=""links""><div class=""c-gray"">Подходит к принтерам:</div><a href=""""><b>HP</b></a>:
                  <a href=""/printer/hp/lj-1100/"">LaserJet 1100</a>, <a href=""/printer/hp/lj-3200/"">LaserJet 3200</a>, <a href=""/printer/hp/lj-3220/"">LaserJet 3220</a>, <a href=""/printer/hp/lj-1100a/"">LaserJet 1100a</a></div>",1100,1050,7000,"<span class=""rini_color-square-black""></span>"
"<div class=""title""><a href=""c7115a/""><b>HP C7115A</b></a><div class=""icons""><span class=""ico-logistic-small left"" title=""круглосуточная доставка""> </span></div></div><div class=""clear""/><div class=""links""><div class=""c-gray"">Подходит к принтерам:</div><a href=""""><b>HP</b></a>:
                  <a href=""/printer/hp/lj-1000/"">LaserJet 1000</a>, <a href=""/printer/hp/lj-1000w/"">LaserJet 1000w</a>, <a href=""/printer/hp/lj-1005/"">LaserJet 1005</a>, <a href=""/printer/hp/lj-1005w/"">LaserJet 1005w</a>, <a href=""/printer/hp/lj-1200/"">LaserJet 1200</a>, <a href=""/printer/hp/lj-1220/"">LaserJet 1220</a>, <a href=""/printer/hp/lj-1220n/"">LaserJet 1220n</a>, <a href=""/printer/hp/lj-3300/"">LaserJet 3300</a>, <a href=""/printer/hp/lj-3310/"">LaserJet 3310</a>, <a href=""/printer/hp/lj-3320/"">LaserJet 3320</a>, <a href=""/printer/hp/lj-3330/"">LaserJet 3330</a>, <a href=""/printer/hp/lj-3380/"">LaserJet 3380</a>, <a href=""/printer/hp/lj-3320n/"">LaserJet 3320n</a>, <a href=""/cartridge/canon/""><b>Canon</b></a>:
                  <a href=""/printer/canon/ls-lbp1120/"">Laser Shot LBP1120</a></div>",1550,1290,,"<span class=""rini_color-square-black""></span>"
"<div class=""title""><a href=""c7115x/""><b>HP C7115X</b></a><div class=""icons""><span class=""ico-logistic-small left"" title=""круглосуточная доставка""> </span></div></div><div class=""clear""/><div class=""links""><div class=""c-gray"">Подходит к принтерам:</div><a href=""/cartridge/canon/""><b>Canon</b></a>:
                  <a href=""/printer/canon/ls-lbp1120/"">Laser Shot LBP1120</a></div>",1900,1700,,"<span class=""rini_color-square-black""></span>"
"<div class=""title""><a href=""q6000a/""><b>HP Q6000A</b></a></div><div class=""clear""/><div class=""links""><div class=""c-gray"">Подходит к принтерам:</div><a href=""""><b>HP</b></a>:
                  <a href=""/printer/hp/clj-1600/"">Color LaserJet 1600</a>, <a href=""/printer/hp/clj-2600n/"">Color LaserJet 2600n</a>, <a href=""/printer/hp/clj-2605/"">Color LaserJet 2605</a>, <a href=""/printer/hp/clj-2605dn/"">Color LaserJet 2605dn</a>, <a href=""/printer/hp/clj-2605dtn/"">Color LaserJet 2605dtn</a>, <a href=""/printer/hp/clj-m1015mfp/"">Color LaserJet M1015mfp</a>, <a href=""/printer/hp/clj-m1017mfp/"">Color LaserJet M1017mfp</a>, <a href=""/cartridge/canon/""><b>Canon</b></a>:
                  <a href=""/printer/canon/lbp-5000/"">LBP-5000</a></div>",3500,3400,,"<span class=""rini_color-square-black""></span>"
"<div class=""title""><a href=""q6001a/""><b>HP Q6001A</b></a></div><div class=""clear""/><div class=""links""><div class=""c-gray"">Подходит к принтерам:</div><a href=""/cartridge/canon/""><b>Canon</b></a>:
                  <a href=""/printer/canon/lbp-5000/"">LBP-5000</a></div>",3500,3400,,"<span class=""rini_color-square-cyan""></span>"
"<div class=""title""><a href=""q6002a/""><b>HP Q6002A</b></a></div><div class=""clear""/><div class=""links""><div class=""c-gray"">Подходит к принтерам:</div><a href=""/cartridge/canon/""><b>Canon</b></a>:
                  <a href=""/printer/canon/lbp-5000/"">LBP-5000</a>, <a href=""""><b>HP</b></a>:
                  <a href=""/printer/hp/lj-2430t/"">LaserJet 2430t</a></div>",3500,3400,,"<span class=""rini_color-square-yellow""></span>"
"<div class=""title""><a href=""q6003a/""><b>HP Q6003A</b></a></div><div class=""clear""/><div class=""links""><div class=""c-gray"">Подходит к принтерам:</div><a href=""""><b>HP</b></a>:
                  <a href=""/printer/hp/lj-2430t/"">LaserJet 2430t</a></div>",3500,3400,,"<span class=""rini_color-square-magenta""></span>"
"<div class=""title""><a href=""ce310a/""><b>HP CE310A (126A)</b></a></div><div class=""clear""/><div class=""links""><div class=""c-gray"">Подходит к принтерам:</div><a href=""""><b>HP</b></a>:
                  <a href=""/printer/hp/clj-cp1025n/"">Color LaserJet CP1025N</a>, <a href=""/printer/hp/clj-pro-cp1025/"">Color LaserJet Pro CP1025</a>, <a href=""/printer/hp/m175a/"">HP Color LaserJet Pro 100 MFP M175a</a>, <a href=""/cartridge/canon/""><b>Canon</b></a>:
                  <a href=""/printer/canon/isensys-lbp7010c/"">i-Sensys LBP7010C</a></div>",850,800,,"<span class=""rini_color-square-black""></span>"
