Картриджи для принтеров,Cовместимый,Unnamed: 2,Ориг.,Цвет
"<div class=""title""><a href=""ce278a/""><b>HP CE278A</b></a></div><div class=""clear""/><div class=""links""><div class=""c-gray"">Подходит к принтерам:</div><a href=""""><b>HP</b></a>:
                  <a href=""/printer/hp/lj-pro-p1566/"">LaserJet Pro P1566</a>, <a href=""/printer/hp/lj-pro-p1606dn/"">LaserJet Pro P1606dn</a>, <a href=""/cartridge/canon/""><b>Canon</b></a>:
                  <a href=""/printer/canon/mf4410/"">i-Sensys MF4410</a>, <a href=""""><b>HP</b></a>:
                  <a href=""/printer/hp/lj-pro-m1536dnf/"">LaserJet Pro M1536dnf MFU</a></div>",1290,1190,7380,"<span class=""rini_color-square-black""></span>"
"<div class=""title""><a href=""ce278a-og/""><b>HP CE278A ОГ</b></a></div><div class=""clear""/><div class=""links""><div class=""c-gray"">Подходит к принтерам:</div><a href=""/cartridge/xerox/""><b>Xerox</b></a>:
                  <a href=""/printer/xerox/wc-5335/"">WorkCentre 5335 MFU</a></div>",650,-          ,,"<span class=""rini_color-square-black""></span>"
"<div class=""title""><a href=""ce278af/""><b>HP CE278AF</b></a></div><div class=""clear""/><div class=""links""><div class=""c-gray"">Подходит к принтерам:</div><a href=""/cartridge/xerox/""><b>Xerox</b></a>:
                  <a href=""/printer/xerox/wc-5735/"">WC 5735</a></div>",-          ,-          ,11460,"<span class=""rini_color-square-black""></span>"
"<div class=""title""><a href=""ce285a_og/""><b>HP CE285A (ОГ)</b></a></div><div class=""clear""/><div class=""links""><div class=""c-gray"">Подходит к принтерам:</div><a href=""""><b>HP</b></a>:
                  <a href=""/printer/hp/lje-m630/"">LaserJet Enterprise M630</a></div>",650,-          ,,"<span class=""rini_color-square-black""></span>"
"<div class=""title""><a href=""ce310ad/""><b>HP CE310AD (126A)</b></a></div><div class=""clear""/><div class=""links""><div class=""c-gray"">Подходит к принтерам:</div><a href=""/cartridge/kyocera/""><b>Kyocera</b></a>:
                  <a href=""/printer/kyocera/fs-3040mfp/"">FS-3040MFP</a></div>",-          ,-          ,9350,"<span class=""rini_color-square-black""></span>"
"<div class=""title""><a href=""ce314a/""><b>HP CE314A (126A)</b></a></div><div class=""clear""/><div class=""links""><div class=""c-gray"">Подходит к принтерам:</div><a href=""/cartridge/xerox/""><b>Xerox</b></a>:
                  <a href=""/printer/xerox/phaser-3500/"">Phaser 3500</a>, <a href=""""><b>HP</b></a>:
                  <a href=""/printer/hp/lj-pro-m153/"">LaserJet Pro M153</a>, <a href=""/printer/hp/lj-pro-m176n/"">LaserJet Pro M176N</a>, <a href=""/printer/hp/cljp-m177fw/"">Color LaserJet Pro MFP M177fw</a></div>",1600,1550,,"<span class=""rini_color-square-black""></span>"
"<div class=""title""><a href=""ce320a/""><b>HP CE320A</b></a></div><div class=""clear""/><div class=""links""><div class=""c-gray"">Подходит к принтерам:</div><a href=""""><b>HP</b></a>:
                  <a href=""/printer/hp/clj-cp1525nw/"">Color LaserJet CP1525NW</a>, <a href=""/printer/hp/clj-pro-cp1525n/"">Color LaserJet Pro CP1525n</a></div>",1700,1600,,"<span class=""rini_color-square-black""></span>"
"<div class=""title""><a href=""ce320a_start/""><b>HP CE320A (стартовый)</b></a></div><div class=""clear""/><div class=""links""><div class=""c-gray"">Подходит к принтерам:</div><a href=""""><b>HP</b></a>:
                  <a href=""/printer/hp/clj-m551/"">Color LaserJet M551</a></div>",-          ,-          ,1950,"<span class=""rini_color-square-black""></span>"
"<div class=""title""><a href=""ce321a/""><b>HP CE321A</b></a></div><div class=""clear""/><div class=""links""><div class=""c-gray"">Подходит к принтерам:</div><a href=""""><b>HP</b></a>:
                  <a href=""/printer/hp/clj-pro-cp1525n/"">Color LaserJet Pro CP1525n</a></div>",1700,1600,,"<span class=""rini_color-square-cyan""></span>"
"<div class=""title""><a href=""ce322a/""><b>HP CE322A</b></a></div><div class=""clear""/><div class=""links""><div class=""c-gray"">Подходит к принтерам:</div><a href=""""><b>HP</b></a>:
                  <a href=""/printer/hp/clj-pro-cp1525n/"">Color LaserJet Pro CP1525n</a></div>",1700,1600,,"<span class=""rini_color-square-yellow""></span>"
"<div class=""title""><a href=""ce323a/""><b>HP CE323A</b></a></div><div class=""clear""/><div class=""links""><div class=""c-gray"">Подходит к принтерам:</div><a href=""""><b>HP</b></a>:
                  <a href=""/printer/hp/clj-pro-cp1525n/"">Color LaserJet Pro CP1525n</a></div>",1700,1600,,"<span class=""rini_color-square-magenta""></span>"
"<div class=""title""><a href=""ce340a/""><b>HP CE340A (№ 651A)</b></a></div><div class=""clear""/><div class=""links""><div class=""c-gray"">Подходит к принтерам:</div><a href=""""><b>HP</b></a>:
                  <a href=""/printer/hp/lj-700-m775f/"">LaserJet Enterprise 700 Color M775f</a></div>",7680,7500,,"<span class=""rini_color-square-black""></span>"
"<div class=""title""><a href=""ce341a/""><b>HP CE341A (№ 651A)</b></a></div><div class=""clear""/><div class=""links""><div class=""c-gray"">Подходит к принтерам:</div><a href=""""><b>HP</b></a>:
                  <a href=""/printer/hp/lj-700-m775f/"">LaserJet Enterprise 700 Color M775f</a></div>",7680,7500,,"<span class=""rini_color-square-cyan""></span>"
"<div class=""title""><a href=""ce342a/""><b>HP CE342A (№ 651A)</b></a></div><div class=""clear""/><div class=""links""><div class=""c-gray"">Подходит к принтерам:</div><a href=""""><b>HP</b></a>:
                  <a href=""/printer/hp/lj-700-m775f/"">LaserJet Enterprise 700 Color M775f</a></div>",7680,7500,,"<span class=""rini_color-square-yellow""></span>"
"<div class=""title""><a href=""ce343a/""><b>HP CE343A (№ 651A)</b></a></div><div class=""clear""/><div class=""links""><div class=""c-gray"">Подходит к принтерам:</div><a href=""""><b>HP</b></a>:
                  <a href=""/printer/hp/lj-700-m775f/"">LaserJet Enterprise 700 Color M775f</a></div>",7680,7500,,"<span class=""rini_color-square-magenta""></span>"
"<div class=""title""><a href=""ce390a/""><b>HP CE390A</b></a></div><div class=""clear""/><div class=""links""><div class=""c-gray"">Подходит к принтерам:</div><a href=""""><b>HP</b></a>:
                  <a href=""/printer/hp/m4555mfp/"">M4555mfp</a>, <a href=""/printer/hp/m603n/"">Enterprise 600 M603n</a></div>",2600,2500,15440,"<span class=""rini_color-square-black""></span>"
"<div class=""title""><a href=""ce390x/""><b>HP CE390X</b></a></div><div class=""clear""/><div class=""links""><div class=""c-gray"">Подходит к принтерам:</div><a href=""""><b>HP</b></a>:
                  <a href=""/printer/hp/m603n/"">Enterprise 600 M603n</a></div>",3700,3500,24330,"<span class=""rini_color-square-black""></span>"
"<div class=""title""><a href=""ce400a/""><b>HP CE400A</b></a></div><div class=""clear""/><div class=""links""><div class=""c-gray"">Подходит к принтерам:</div><a href=""""><b>HP</b></a>:
                  <a href=""/printer/hp/clj-m551/"">Color LaserJet M551</a></div>",2500,2300,12740,"<span class=""rini_color-square-black""></span>"
"<div class=""title""><a href=""ce400x/""><b>HP CE400X</b></a></div><div class=""clear""/><div class=""links""><div class=""c-gray"">Подходит к принтерам:</div><a href=""""><b>HP</b></a>:
                  <a href=""/printer/hp/clj-m551/"">Color LaserJet M551</a></div>",2700,2500,19190,"<span class=""rini_color-square-black""></span>"
"<div class=""title""><a href=""ce401a/""><b>HP CE401A</b></a></div><div class=""clear""/><div class=""links""><div class=""c-gray"">Подходит к принтерам:</div><a href=""""><b>HP</b></a>:
                  <a href=""/printer/hp/clj-m551/"">Color LaserJet M551</a></div>",2500,2300,20010,"<span class=""rini_color-square-cyan""></span>"
"<div class=""title""><a href=""ce402a/""><b>HP CE402A</b></a></div><div class=""clear""/><div class=""links""><div class=""c-gray"">Подходит к принтерам:</div><a href=""""><b>HP</b></a>:
                  <a href=""/printer/hp/clj-m551/"">Color LaserJet M551</a></div>",2500,2300,20010,"<span class=""rini_color-square-yellow""></span>"
"<div class=""title""><a href=""ce403a/""><b>HP CE403A</b></a></div><div class=""clear""/><div class=""links""><div class=""c-gray"">Подходит к принтерам:</div><a href=""""><b>HP</b></a>:
                  <a href=""/printer/hp/clj-m551/"">Color LaserJet M551</a></div>",2500,2300,20010,"<span class=""rini_color-square-magenta""></span>"
"<div class=""title""><a href=""ce410a/""><b>HP CE410A(№305A)</b></a></div><div class=""clear""/><div class=""links""><div class=""c-gray"">Подходит к принтерам:</div><a href=""""><b>HP</b></a>:
                  <a href=""/printer/hp/ljp-300-m375nw/"">LaserJet Pro 300 M375NW</a></div>",1800,1700,7500,"<span class=""rini_color-square-black""></span>"
"<div class=""title""><a href=""ce410x/""><b>HP CE410X (№305X)</b></a></div><div class=""clear""/><div class=""links""><div class=""c-gray"">Подходит к принтерам:</div><a href=""""><b>HP</b></a>:
                  <a href=""/printer/hp/ljp-400-m351a/"">LaserJet Pro 300 M351A</a>, <a href=""/printer/hp/ljp-400-m451dn/"">LaserJet Pro 400 M451DN</a>, <a href=""/printer/hp/ljp-300-m375nw/"">LaserJet Pro 300 M375NW</a></div>",1850,1750,9930,"<span class=""rini_color-square-black""></span>"
"<div class=""title""><a href=""ce411a/""><b>HP CE411A (№305A)</b></a></div><div class=""clear""/><div class=""links""><div class=""c-gray"">Подходит к принтерам:</div><a href=""""><b>HP</b></a>:
                  <a href=""/printer/hp/ljp-300-m375nw/"">LaserJet Pro 300 M375NW</a></div>",1800,1700,11380,"<span class=""rini_color-square-cyan""></span>"
"<div class=""title""><a href=""ce412a/""><b>HP CE412A (№305A)</b></a></div><div class=""clear""/><div class=""links""><div class=""c-gray"">Подходит к принтерам:</div><a href=""""><b>HP</b></a>:
                  <a href=""/printer/hp/ljp-300-m375nw/"">LaserJet Pro 300 M375NW</a></div>",1800,1700,11380,"<span class=""rini_color-square-yellow""></span>"
"<div class=""title""><a href=""ce413a/""><b>HP CE413A (№305A)</b></a></div><div class=""clear""/><div class=""links""><div class=""c-gray"">Подходит к принтерам:</div><a href=""""><b>HP</b></a>:
                  <a href=""/printer/hp/ljp-300-m375nw/"">LaserJet Pro 300 M375NW</a></div>",1800,1700,11380,"<span class=""rini_color-square-magenta""></span>"
"<div class=""title""><a href=""ce505a/""><b>HP CE505A</b></a></div><div class=""clear""/><div class=""links""><div class=""c-gray"">Подходит к принтерам:</div><a href=""""><b>HP</b></a>:
                  <a href=""/printer/hp/lj-p2035/"">LaserJet P2035</a>, <a href=""/printer/hp/lj-p2055/"">LaserJet P2055</a>, <a href=""/printer/hp/lj-p2055dn/"">LaserJet P2055dn</a>, <a href=""/printer/hp/lj-p2055d/"">LaserJet P2055d</a>, <a href=""/printer/hp/Hp-p2035n/"">LaserJet P2035n</a></div>",1400,1300,,"<span class=""rini_color-square-black""></span>"
"<div class=""title""><a href=""ce505x/""><b>HP CE505X</b></a></div><div class=""clear""/><div class=""links""><div class=""c-gray"">Подходит к принтерам:</div><a href=""/cartridge/panasonic/""><b>Panasonic</b></a>:
                  <a href=""/printer/panasonic/kx-flb752/"">KX-FLB752</a></div>",1900,1800,,"<span class=""rini_color-square-black""></span>"
"<div class=""title""><a href=""ce740a/""><b>HP CE740A Восстановленный</b></a></div><div class=""clear""/><div class=""links""><div class=""c-gray"">Подходит к принтерам:</div><a href=""""><b>HP</b></a>:
                  <a href=""/printer/hp/clj-cp5220/"">Color Laser Jet CP5220</a>, <a href=""/printer/hp/cljp-cp5225/"">Color LaserJet Pro CP5225</a>, <a href=""/printer/hp/cljp-cp5225dn/"">Color LaserJet Pro CP5225dn</a></div>",7290,7100,,"<span class=""rini_color-square-black""></span>"
"<div class=""title""><a href=""ce740a-ch/""><b>HP CE740A Китай</b></a></div><div class=""clear""/><div class=""links""><div class=""c-gray"">Подходит к принтерам:</div><a href=""/cartridge/kyocera/""><b>Kyocera</b></a>:
                  <a href=""/printer/kyocera/ecosys-p3155dn/"">Ecosys P3155DN</a></div>",4900,4850,,"<span class=""rini_color-square-black""></span>"
"<div class=""title""><a href=""ce741a/""><b>HP CE741A Восстановленный</b></a></div><div class=""clear""/><div class=""links""><div class=""c-gray"">Подходит к принтерам:</div><a href=""""><b>HP</b></a>:
                  <a href=""/printer/hp/cljp-cp5225dn/"">Color LaserJet Pro CP5225dn</a></div>",7290,7100,,"<span class=""rini_color-square-cyan""></span>"
"<div class=""title""><a href=""ce741a-ch/""><b>HP CE741A Китай</b></a></div><div class=""clear""/><div class=""links""><div class=""c-gray"">Подходит к принтерам:</div><a href=""/cartridge/kyocera/""><b>Kyocera</b></a>:
                  <a href=""/printer/kyocera/ecosys-p3155dn/"">Ecosys P3155DN</a></div>",4900,4850,,"<span class=""rini_color-square-cyan""></span>"
"<div class=""title""><a href=""ce742a/""><b>HP CE742A Восстановленный</b></a></div><div class=""clear""/><div class=""links""><div class=""c-gray"">Подходит к принтерам:</div><a href=""""><b>HP</b></a>:
                  <a href=""/printer/hp/cljp-cp5225dn/"">Color LaserJet Pro CP5225dn</a></div>",7290,7100,,"<span class=""rini_color-square-yellow""></span>"
"<div class=""title""><a href=""ce742a-ch/""><b>HP CE742A Китай</b></a></div><div class=""clear""/><div class=""links""><div class=""c-gray"">Подходит к принтерам:</div><a href=""/cartridge/kyocera/""><b>Kyocera</b></a>:
                  <a href=""/printer/kyocera/ecosys-p3155dn/"">Ecosys P3155DN</a></div>",4900,4850,,"<span class=""rini_color-square-yellow""></span>"
"<div class=""title""><a href=""ce743a/""><b>HP CE743A Восстановленный</b></a></div><div class=""clear""/><div class=""links""><div class=""c-gray"">Подходит к принтерам:</div><a href=""""><b>HP</b></a>:
                  <a href=""/printer/hp/cljp-cp5225dn/"">Color LaserJet Pro CP5225dn</a></div>",7290,7100,,"<span class=""rini_color-square-magenta""></span>"
"<div class=""title""><a href=""ce743a-ch/""><b>HP CE743A Китай</b></a></div><div class=""clear""/><div class=""links""><div class=""c-gray"">Подходит к принтерам:</div><a href=""/cartridge/kyocera/""><b>Kyocera</b></a>:
                  <a href=""/printer/kyocera/ecosys-p3155dn/"">Ecosys P3155DN</a></div>",4900,4850,,"<span class=""rini_color-square-magenta""></span>"
"<div class=""title""><a href=""cf210a/""><b>HP CF210A (131A)</b></a></div><div class=""clear""/><div class=""links""><div class=""c-gray"">Подходит к принтерам:</div><a href=""""><b>HP</b></a>:
                  <a href=""/printer/hp/m251nw/"">M251nw</a>, <a href=""/printer/hp/m276-mfp/"">M276 MFP</a>, <a href=""/printer/hp/ljp-200-color-printer-m251n/"">LaserJet Pro 200 color Printer M251n</a></div>",1700,1600,6630,"<span class=""rini_color-square-black""></span>"
"<div class=""title""><a href=""cf210x/""><b>HP CF210X (131X)</b></a></div><div class=""clear""/><div class=""links""><div class=""c-gray"">Подходит к принтерам:</div><a href=""""><b>HP</b></a>:
                  <a href=""/printer/hp/ljp-200-color-printer-m251n/"">LaserJet Pro 200 color Printer M251n</a></div>",1700,1600,7760,"<span class=""rini_color-square-black""></span>"
"<div class=""title""><a href=""cf211a/""><b>HP CF211A (131A)</b></a></div><div class=""clear""/><div class=""links""><div class=""c-gray"">Подходит к принтерам:</div><a href=""""><b>HP</b></a>:
                  <a href=""/printer/hp/ljp-200-color-printer-m251n/"">LaserJet Pro 200 color Printer M251n</a></div>",1700,1600,7960,"<span class=""rini_color-square-cyan""></span>"
"<div class=""title""><a href=""cf212a/""><b>HP CF212A (131A)</b></a></div><div class=""clear""/><div class=""links""><div class=""c-gray"">Подходит к принтерам:</div><a href=""""><b>HP</b></a>:
                  <a href=""/printer/hp/ljp-200-color-printer-m251n/"">LaserJet Pro 200 color Printer M251n</a></div>",1700,1600,7960,"<span class=""rini_color-square-yellow""></span>"
"<div class=""title""><a href=""cf213a/""><b>HP CF213A (131A)</b></a></div><div class=""clear""/><div class=""links""><div class=""c-gray"">Подходит к принтерам:</div><a href=""""><b>HP</b></a>:
                  <a href=""/printer/hp/ljp-200-color-printer-m251n/"">LaserJet Pro 200 color Printer M251n</a></div>",1700,1600,7960,"<span class=""rini_color-square-magenta""></span>"
"<div class=""title""><a href=""cf214a/""><b>HP CF214A (14A)</b></a></div><div class=""clear""/><div class=""links""><div class=""c-gray"">Подходит к принтерам:</div><a href=""""><b>HP</b></a>:
                  <a href=""/printer/hp/lj-e-m725dn/"">LaserJet Enterprise M725dn</a>, <a href=""/printer/hp/lj-e-700-m712dn/"">LaserJet Enterprise 700 M712dn</a></div>",3170,2900,17980,"<span class=""rini_color-square-black""></span>"
"<div class=""title""><a href=""cf214x/""><b>HP CF214X (14X)</b></a></div><div class=""clear""/><div class=""links""><div class=""c-gray"">Подходит к принтерам:</div><a href=""""><b>HP</b></a>:
                  <a href=""/printer/hp/lj-e-700-m712dn/"">LaserJet Enterprise 700 M712dn</a></div>",3460,3200,18800,"<span class=""rini_color-square-black""></span>"
"<div class=""title""><a href=""cf218a_n/""><b>HP CF218A (18A) б/чипа</b></a></div><div class=""clear""/><div class=""links""><div class=""c-gray"">Подходит к принтерам:</div><a href=""""><b>HP</b></a>:
                  <a href=""/printer/hp/laser-m141w/"">LaserJet M141w</a></div>",-          ,-          ,,"<span class=""rini_color-square-black""></span>"
"<div class=""title""><a href=""cf218x/""><b>HP CF218X (18X)</b></a></div><div class=""clear""/><div class=""links""><div class=""c-gray"">Подходит к принтерам:</div><a href=""/cartridge/canon/""><b>Canon</b></a>:
                  <a href=""/printer/canon/i-sensys-mf628cw/"">i-SENSYS MF628Cw</a></div>",1700,1600,,"<span class=""rini_color-square-black""></span>"
"<div class=""title""><a href=""cf218xl/""><b>HP CF218XL (18XL)</b></a></div><div class=""clear""/><div class=""links""><div class=""c-gray"">Подходит к принтерам:</div><a href=""/cartridge/kyocera/""><b>Kyocera</b></a>:
                  <a href=""/printer/kyocera/p2040dw/"">ECOSYS P2040dw</a></div>",1800,1700,,"<span class=""rini_color-square-black""></span>"
"<div class=""title""><a href=""cf219a/""><b>HP CF219A (19A)</b></a></div><div class=""clear""/><div class=""links""><div class=""c-gray"">Подходит к принтерам:</div><a href=""/cartridge/canon/""><b>Canon</b></a>:
                  <a href=""/printer/canon/i-sensys-mf628cw/"">i-SENSYS MF628Cw</a></div>",1900,1800,9300,"<span class=""rini_color-square-black""></span>"
"<div class=""title""><a href=""cf226a/""><b>HP CF226A (26A)</b></a></div><div class=""clear""/><div class=""links""><div class=""c-gray"">Подходит к принтерам:</div><a href=""""><b>HP</b></a>:
                  <a href=""/printer/hp/ljp-m402d/"">LaserJet Pro M402d</a>, <a href=""/printer/hp/ljp-mfp-m426fdw/"">LaserJet Pro MFP M426fdw</a>, <a href=""/printer/hp/ljp-m402dn/"">LaserJet Pro M402dn</a>, <a href=""/cartridge/canon/""><b>Canon</b></a>:
                  <a href=""/printer/canon/i-sensys-mf421dw/"">i-SENSYS MF421dw</a>, <a href=""/printer/canon/i-sensys-mf428x/"">i-SENSYS MF428x</a>, <a href=""/printer/canon/i-sensys-mf429x/"">i-SENSYS MF429x</a></div>",1500,1400,,"<span class=""rini_color-square-black""></span>"
"<div class=""title""><a href=""cf226x/""><b>HP CF226X (26X)</b></a></div><div class=""clear""/><div class=""links""><div class=""c-gray"">Подходит к принтерам:</div><a href=""/cartridge/epson/""><b>Epson</b></a>:
                  <a href=""/printer/epson/al-alm2300/"">AcuLaser ALM2300</a></div>",1900,1800,,"<span class=""rini_color-square-black""></span>"
"<div class=""title""><a href=""cf230a/""><b>HP CF230A (№30A)</b></a></div><div class=""clear""/><div class=""links""><div class=""c-gray"">Подходит к принтерам:</div><a href=""""><b>HP</b></a>:
                  <a href=""/printer/hp/ljp-m203dn/"">LaserJet Pro M203dn</a></div>",1290,1200,,"<span class=""rini_color-square-black""></span>"
"<div class=""title""><a href=""cf230x/""><b>HP CF230X (№30X)</b></a></div><div class=""clear""/><div class=""links""><div class=""c-gray"">Подходит к принтерам:</div><a href=""""><b>HP</b></a>:
                  <a href=""/printer/hp/ljp-m203dn/"">LaserJet Pro M203dn</a></div>",1700,1600,,"<span class=""rini_color-square-black""></span>"
"<div class=""title""><a href=""cf230xl/""><b>HP CF230XL (№30XL)</b></a></div><div class=""clear""/><div class=""links""><div class=""c-gray"">Подходит к принтерам:</div><a href=""/cartridge/kyocera/""><b>Kyocera</b></a>:
                  <a href=""/printer/kyocera/p2040dw/"">ECOSYS P2040dw</a></div>",-          ,-          ,,"<span class=""rini_color-square-black""></span>"
"<div class=""title""><a href=""cf232a/""><b>HP CF232A (№32A)</b></a></div><div class=""clear""/><div class=""links""><div class=""c-gray"">Подходит к принтерам:</div><a href=""""><b>HP</b></a>:
                  <a href=""/printer/hp/ljp-m227fdn/"">LaserJet Pro M227fdn</a>, <a href=""/printer/hp/ljp-m203dn/"">LaserJet Pro M203dn</a></div>",1800,1700,8570,"<span class=""rini_color-square-black""></span>"
"<div class=""title""><a href=""cf233a/""><b>HP CF233A (№ 33)</b></a></div><div class=""clear""/><div class=""links""><div class=""c-gray"">Подходит к принтерам:</div><a href=""""><b>HP</b></a>:
                  <a href=""/printer/hp/lj-m106w/"">LaserJet Ultra M106w</a>, <a href=""/printer/hp/lj-m134a/"">LaserJet Ultra M134a</a>, <a href=""/printer/hp/lj-m134fn/"">LaserJet Ultra M134fn</a></div>",1300,-          ,2170,"<span class=""rini_color-square-black""></span>"
"<div class=""title""><a href=""cf234a/""><b>HP CF234A (№34A)</b></a></div><div class=""clear""/><div class=""links""><div class=""c-gray"">Подходит к принтерам:</div><a href=""""><b>HP</b></a>:
                  <a href=""/printer/hp/lj-m134fn/"">LaserJet Ultra M134fn</a></div>",2100,2050,5420,"<span class=""rini_color-square-black""></span>"
"<div class=""title""><a href=""cf237a/""><b>HP CF237A (№37A)</b></a></div><div class=""clear""/><div class=""links""><div class=""c-gray"">Подходит к принтерам:</div><a href=""""><b>HP</b></a>:
                  <a href=""/printer/hp/lj-e-m632/"">LJ Enterprise M632</a>, <a href=""/printer/hp/lj-e-m607/"">LJ Enterprise M607</a></div>",5000,4800,,"<span class=""rini_color-square-black""></span>"
"<div class=""title""><a href=""cf237x/""><b>HP CF237X (№37X)</b></a></div><div class=""clear""/><div class=""links""><div class=""c-gray"">Подходит к принтерам:</div><a href=""""><b>HP</b></a>:
                  <a href=""/printer/hp/lj-e-m608dn/"">LJ Enterprise M608dn</a>, <a href=""/printer/hp/lj-e-m631dn/"">LJ Enterprise M631dn</a>, <a href=""/printer/hp/lj-e-m632/"">LJ Enterprise M632</a></div>",7000,6800,,"<span class=""rini_color-square-black""></span>"
"<div class=""title""><a href=""cf244a/""><b>HP CF244A (№44A)</b></a></div><div class=""clear""/><div class=""links""><div class=""c-gray"">Подходит к принтерам:</div><a href=""""><b>HP</b></a>:
                  <a href=""/printer/hp/lj-mfp-m28a/"">LaserJet MFP M28a</a></div>",1650,1550,4680,"<span class=""rini_color-square-black""></span>"
"<div class=""title""><a href=""cf259a/""><b>HP CF259A (59A)</b></a></div><div class=""clear""/><div class=""links""><div class=""c-gray"">Подходит к принтерам:</div><a href=""""><b>HP</b></a>:
                  <a href=""/printer/hp/ljp-m404dn/"">LaserJet Pro M404dn</a>, <a href=""/printer/hp/ljp-mfp-m428dw/"">LaserJet Pro MFP M428dw</a>, <a href=""/printer/hp/ljp-m304a/"">LaserJet Pro M304a</a>, <a href=""/cartridge/canon/""><b>Canon</b></a>:
                  <a href=""/printer/canon/mf449x/"">i-Sensys MF449x</a></div>",1700,1600,,"<span class=""rini_color-square-black""></span>"
"<div class=""title""><a href=""cf259x-wc/""><b>HP CF259X (59X) С ЧИПОМ</b></a></div><div class=""clear""/><div class=""links""><div class=""c-gray"">Подходит к принтерам:</div><a href=""/cartridge/kyocera/""><b>Kyocera</b></a>:
                  <a href=""/printer/kyocera/ecosys-p3155dn/"">Ecosys P3155DN</a></div>",7000,6950,28200,"<span class=""rini_color-square-black""></span>"
"<div class=""title""><a href=""cf280a/""><b>HP CF280A</b></a></div><div class=""clear""/><div class=""links""><div class=""c-gray"">Подходит к принтерам:</div><a href=""""><b>HP</b></a>:
                  <a href=""/printer/hp/ljp-400-m401/"">LJ Pro 400 M401</a>, <a href=""/printer/hp/ljp-400-mfp-m425/"">LJ Pro 400 MFP M425</a>, <a href=""/printer/hp/ljp-400-m401dn/"">LaserJet Pro 400 M401dn</a></div>",1400,1300,,"<span class=""rini_color-square-black""></span>"
"<div class=""title""><a href=""cf280a-og/""><b>HP CF280A ОГ</b></a></div><div class=""clear""/><div class=""links""><div class=""c-gray"">Подходит к принтерам:</div><a href=""/cartridge/xerox/""><b>Xerox</b></a>:
                  <a href=""/printer/xerox/wc-5335/"">WorkCentre 5335 MFU</a></div>",850,-          ,,"<span class=""rini_color-square-black""></span>"
"<div class=""title""><a href=""cf281a/""><b>HP CF281A</b></a></div><div class=""clear""/><div class=""links""><div class=""c-gray"">Подходит к принтерам:</div><a href=""""><b>HP</b></a>:
                  <a href=""/printer/hp/cljp-mfp-m476dn/"">CLJ Pro MFP M476dn</a></div>",2350,2300,26200,"<span class=""rini_color-square-black""></span>"
"<div class=""title""><a href=""cf281a-og/""><b>HP CF281A (ОГ)</b></a></div><div class=""clear""/><div class=""links""><div class=""c-gray"">Подходит к принтерам:</div><a href=""/cartridge/canon/""><b>Canon</b></a>:
                  <a href=""/printer/canon/i-sensys-mf429x/"">i-SENSYS MF429x</a></div>",-          ,-          ,,"<span class=""rini_color-square-black""></span>"
"<div class=""title""><a href=""cf281x/""><b>HP CF281X</b></a></div><div class=""clear""/><div class=""links""><div class=""c-gray"">Подходит к принтерам:</div><a href=""""><b>HP</b></a>:
                  <a href=""/printer/hp/lje-m630/"">LaserJet Enterprise M630</a></div>",2450,2400,39900,"<span class=""rini_color-square-black""></span>"
"<div class=""title""><a href=""cf283a_og/""><b>HP CF283A (№ 83) ОГ</b></a></div><div class=""clear""/><div class=""links""><div class=""c-gray"">Подходит к принтерам:</div><a href=""/cartridge/xerox/""><b>Xerox</b></a>:
                  <a href=""/printer/xerox/wc-5335/"">WorkCentre 5335 MFU</a></div>",650,-          ,,"<span class=""rini_color-square-black""></span>"
"<div class=""title""><a href=""cf287a/""><b>HP CF287A</b></a></div><div class=""clear""/><div class=""links""><div class=""c-gray"">Подходит к принтерам:</div><a href=""""><b>HP</b></a>:
                  <a href=""/printer/hp/lje-m506x/"">LaserJet Enterprise M506x</a>, <a href=""/cartridge/canon/""><b>Canon</b></a>:
                  <a href=""/printer/canon/i-sensys-lbp312x/"">i-SENSYS LBP312x</a></div>",1900,1800,19410,"<span class=""rini_color-square-black""></span>"
"<div class=""title""><a href=""cf287x/""><b>HP CF287X</b></a></div><div class=""clear""/><div class=""links""><div class=""c-gray"">Подходит к принтерам:</div><a href=""/cartridge/kyocera/""><b>Kyocera</b></a>:
                  <a href=""/printer/kyocera/p2040dw/"">ECOSYS P2040dw</a></div>",2500,2300,26720,"<span class=""rini_color-square-black""></span>"
"<div class=""title""><a href=""cf325x/""><b>HP CF325X (25X)</b></a></div><div class=""clear""/><div class=""links""><div class=""c-gray"">Подходит к принтерам:</div><a href=""""><b>HP</b></a>:
                  <a href=""/printer/hp/lj-m830z/"">LaserJet M830z</a>, <a href=""/printer/hp/lj-e-m806dn/"">LaserJet Enterprise M806dn</a></div>",7300,7200,42580,"<span class=""rini_color-square-black""></span>"
"<div class=""title""><a href=""cf330x/""><b>HP CF330X (654X)</b></a></div><div class=""clear""/><div class=""links""><div class=""c-gray"">Подходит к принтерам:</div><a href=""""><b>HP</b></a>:
                  <a href=""/printer/hp/m651/"">Color LaserJet M651</a>, <a href=""/printer/hp/m680/"">Color LaserJet M680</a></div>",7000,6700,23360,"<span class=""rini_color-square-black""></span>"
