Картриджи для  принтеров,Cовместимый,Cовместимый 10 шт.,Ориг.,Цвет
#span#,"Цена, руб.<br/>1 шт.",<br/>10 шт.,"Цена, руб.<br/>1 шт.", 
"<div class=""title""><a href=""dk-1150/""><b>Kyocera DK-1150</b></a></div><div class=""clear""/><div class=""links""><div class=""c-gray"">Подходит к принтерам:</div><a href=""/cartridge/brother/""><b>Brother</b></a>:
                  <a href=""/printer/brother/dcp-9020/"">DCP-9020</a></div>",7000          ,-          ,17800,"<span class=""rini_color-square-black""></span>"
"<div class=""title""><a href=""dk-3170/""><b>Kyocera DK-3170 (302T993060/302T993061)</b></a></div><div class=""clear""/><div class=""links""><div class=""c-gray"">Подходит к принтерам:</div><a href=""/cartridge/brother/""><b>Brother</b></a>:
                  <a href=""/printer/brother/dcp-9020/"">DCP-9020</a></div>",-          ,-          ,22300,"<span class=""rini_color-square-black""></span>"
"<div class=""title""><a href=""tk-17/""><b>Kyocera TK 17</b></a></div><div class=""clear""/><div class=""links""><div class=""c-gray"">Подходит к принтерам:</div><a href=""""><b>Kyocera</b></a>:
                  <a href=""/printer/kyocera/fs-1000+/"">FS-1000+</a>, <a href=""/printer/kyocera/fs-1010/"">FS-1010</a>, <a href=""/printer/kyocera/fs-1050/"">FS-1050</a></div>",1700          ,1450          ,460,"<span class=""rini_color-square-black""></span>"
"<div class=""title""><a href=""tk18/""><b>Kyocera TK 18</b></a></div><div class=""clear""/><div class=""links""><div class=""c-gray"">Подходит к принтерам:</div><a href=""""><b>Kyocera</b></a>:
                  <a href=""/printer/kyocera/fs-1020d/"">FS-1020D</a>, <a href=""/printer/kyocera/fs-1118mfp/"">FS-1118MFP</a></div>",1700          ,1450          ,5490,"<span class=""rini_color-square-black""></span>"
"<div class=""title""><a href=""tk-590c/""><b>Kyocera TK 590C</b></a></div><div class=""clear""/><div class=""links""><div class=""c-gray"">Подходит к принтерам:</div><a href=""""><b>Kyocera</b></a>:
                  <a href=""/printer/kyocera/fs-c2126mfp/"">FS-С2126МFР</a></div>",1600          ,-          ,,"<span class=""rini_color-square-cyan""></span>"
"<div class=""title""><a href=""tk-590k/""><b>Kyocera TK 590K</b></a></div><div class=""clear""/><div class=""links""><div class=""c-gray"">Подходит к принтерам:</div><a href=""""><b>Kyocera</b></a>:
                  <a href=""/printer/kyocera/fs-c2026mfp/"">FS-С2026МFР</a>, <a href=""/printer/kyocera/fs-c2126mfp/"">FS-С2126МFР</a></div>",1600          ,-          ,,"<span class=""rini_color-square-black""></span>"
"<div class=""title""><a href=""tk-590m/""><b>Kyocera TK 590M</b></a></div><div class=""clear""/><div class=""links""><div class=""c-gray"">Подходит к принтерам:</div><a href=""""><b>Kyocera</b></a>:
                  <a href=""/printer/kyocera/fs-c2126mfp/"">FS-С2126МFР</a></div>",1600          ,-          ,,"<span class=""rini_color-square-magenta""></span>"
"<div class=""title""><a href=""tk-590y/""><b>Kyocera TK 590Y</b></a></div><div class=""clear""/><div class=""links""><div class=""c-gray"">Подходит к принтерам:</div><a href=""""><b>Kyocera</b></a>:
                  <a href=""/printer/kyocera/fs-c2126mfp/"">FS-С2126МFР</a></div>",1600          ,-          ,,"<span class=""rini_color-square-yellow""></span>"
"<div class=""title""><a href=""tk-110/""><b>Kyocera TK-110</b></a></div><div class=""clear""/><div class=""links""><div class=""c-gray"">Подходит к принтерам:</div><a href=""""><b>Kyocera</b></a>:
                  <a href=""/printer/kyocera/fs-1116mfp/"">FS-1116MFP (МФУ)</a></div>",1700          ,1700          ,7930,"<span class=""rini_color-square-black""></span>"
"<div class=""title""><a href=""tk-1100/""><b>Kyocera TK-1100</b></a></div><div class=""clear""/><div class=""links""><div class=""c-gray"">Подходит к принтерам:</div><a href=""""><b>Kyocera</b></a>:
                  <a href=""/printer/kyocera/fs-1110/"">FS-1110</a>, <a href=""/printer/kyocera/fs-1024mfp/"">FS-1024MFP</a></div>",750          ,700          ,,"<span class=""rini_color-square-black""></span>"
"<div class=""title""><a href=""tk-1110/""><b>Kyocera TK-1110</b></a></div><div class=""clear""/><div class=""links""><div class=""c-gray"">Подходит к принтерам:</div><a href=""""><b>Kyocera</b></a>:
                  <a href=""/printer/kyocera/fs-1040/"">FS-1040</a>, <a href=""/printer/kyocera/fs-1020mfp/"">FS-1020MFP</a></div>",1100          ,1050          ,,"<span class=""rini_color-square-black""></span>"
"<div class=""title""><a href=""tk-1120/""><b>Kyocera TK-1120</b></a></div><div class=""clear""/><div class=""links""><div class=""c-gray"">Подходит к принтерам:</div><a href=""""><b>Kyocera</b></a>:
                  <a href=""/printer/kyocera/fs-1125mfp/"">FS-1125MFP</a>, <a href=""/printer/kyocera/fs-1025mfp/"">FS-1025MFP</a></div>",1100          ,1050          ,,"<span class=""rini_color-square-black""></span>"
"<div class=""title""><a href=""tk-1130/""><b>Kyocera TK-1130</b></a></div><div class=""clear""/><div class=""links""><div class=""c-gray"">Подходит к принтерам:</div><a href=""""><b>Kyocera</b></a>:
                  <a href=""/printer/kyocera/fs-1030mfp/"">FS-1030MFP</a></div>",1150          ,1200          ,,"<span class=""rini_color-square-black""></span>"
"<div class=""title""><a href=""tk-1140/""><b>Kyocera TK-1140</b></a></div><div class=""clear""/><div class=""links""><div class=""c-gray"">Подходит к принтерам:</div><a href=""""><b>Kyocera</b></a>:
                  <a href=""/printer/kyocera/fs-1035mfp_dp/"">FS-1035MFP/DP</a></div>",1200          ,1150          ,,"<span class=""rini_color-square-black""></span>"
"<div class=""title""><a href=""tk-1150/""><b>Kyocera TK-1150</b></a></div><div class=""clear""/><div class=""links""><div class=""c-gray"">Подходит к принтерам:</div><a href=""""><b>Kyocera</b></a>:
                  <a href=""/printer/kyocera/m2135dn/"">ECOSYS M2135dn</a>, <a href=""/printer/kyocera/p2235dn/"">ECOSYS P2235dn</a></div>",1200          ,1150          ,,"<span class=""rini_color-square-black""></span>"
"<div class=""title""><a href=""tk-1160/""><b>Kyocera TK-1160</b></a></div><div class=""clear""/><div class=""links""><div class=""c-gray"">Подходит к принтерам:</div><a href=""""><b>Kyocera</b></a>:
                  <a href=""/printer/kyocera/p2040dn/"">ECOSYS P2040dn</a>, <a href=""/printer/kyocera/p2040dw/"">ECOSYS P2040dw</a></div>",1550          ,1500          ,,"<span class=""rini_color-square-black""></span>"
"<div class=""title""><a href=""tk-1170/""><b>Kyocera TK-1170</b></a></div><div class=""clear""/><div class=""links""><div class=""c-gray"">Подходит к принтерам:</div><a href=""""><b>Kyocera</b></a>:
                  <a href=""/printer/kyocera/ecosys-m2040dn/"">ECOSYS M2040dn</a>, <a href=""/printer/kyocera/ecosys-m2540dn/"">ECOSYS M2540dn</a>, <a href=""/printer/kyocera/ecosys-m2640idw/"">ECOSYS M2640idw</a></div>",1700          ,1600          ,,"<span class=""rini_color-square-black""></span>"
